iter	Passed	Remaining
0	26	2128
1	94	3667
2	153	3935
3	194	3693
4	244	3672
5	314	3877
6	356	3715
7	387	3489
8	417	3290
9	442	3098
10	466	2928
11	492	2790
12	517	2666
13	544	2569
14	574	2490
15	602	2411
16	633	2348
17	663	2284
18	691	2219
19	725	2177
20	762	2143
21	791	2087
22	822	2039
23	856	1999
24	883	1943
25	912	1896
26	939	1843
27	969	1801
28	999	1758
29	1025	1708
30	1053	1664
31	1079	1619
32	1108	1579
33	1135	1536
34	1161	1493
35	1188	1453
36	1213	1410
37	1238	1369
38	1269	1334
39	1299	1299
40	1330	1265
41	1360	1230
42	1392	1198
43	1423	1164
44	1457	1133
45	1486	1098
46	1515	1063
47	1544	1029
48	1574	996
49	1605	963
50	1633	928
51	1663	895
52	1691	861
53	1721	828
54	1751	796
55	1779	762
56	1811	730
57	1844	699
58	1872	666
59	1903	634
60	1934	602
61	1964	570
62	1994	538
63	2025	506
64	2054	474
65	2085	442
66	2115	410
67	2143	378
68	2174	346
69	2192	313
70	2209	280
71	2228	247
72	2245	215
73	2263	183
74	2275	151
75	2287	120
76	2297	89
77	2309	59
78	2322	29
79	2333	0
