iter	Logloss
0	0.3061347701
1	0.2256599496
2	0.1941005548
3	0.1833918022
4	0.1802202866
5	0.1773018409
6	0.1754810407
7	0.1747598687
8	0.1739316283
9	0.1732842177
10	0.1718333496
11	0.1711160301
12	0.1709147023
13	0.1706996929
14	0.1702335672
15	0.1697326159
16	0.1693502149
17	0.1691273574
18	0.1682312101
19	0.1674209821
20	0.1665386878
21	0.1662734613
22	0.1662039128
23	0.165725959
24	0.1646222292
25	0.1637614897
26	0.1636614757
27	0.1634727618
28	0.1633770723
29	0.1633618493
30	0.1627436062
31	0.1621581696
32	0.1615825389
33	0.1615315553
34	0.1607734254
35	0.1603448198
36	0.1596822779
37	0.1594916381
38	0.1590486515
39	0.1585671496
40	0.1582172678
41	0.1578708339
42	0.1575011657
43	0.1573425368
44	0.1571729648
45	0.1568406794
46	0.1564996686
47	0.1562697958
48	0.1558439
49	0.1553541125
50	0.1549665197
51	0.1547246619
52	0.1544167397
53	0.1543913766
54	0.1539604769
55	0.1536066542
56	0.1531327818
57	0.1529618877
58	0.1524573948
59	0.1518220736
60	0.1510800431
61	0.1510057743
62	0.1506484743
63	0.1502946081
64	0.1500223507
65	0.1499582874
66	0.1494804918
67	0.1493026319
68	0.1491396206
69	0.1489799611
70	0.1487995003
71	0.1471214323
72	0.1469377217
73	0.1466853715
74	0.1462674341
75	0.145762314
76	0.1453799658
77	0.1449346626
78	0.1446050255
79	0.1440187559
