iter	Passed	Remaining
0	3	3401
1	7	3617
2	11	3948
3	19	4974
4	27	5506
5	31	5294
6	38	5433
7	44	5505
8	50	5518
9	56	5591
10	61	5521
11	65	5400
12	69	5309
13	73	5186
14	77	5108
15	81	5021
16	86	4995
17	90	4932
18	94	4872
19	100	4939
20	105	4919
21	109	4863
22	113	4806
23	116	4751
24	120	4681
25	123	4624
26	126	4565
27	129	4508
28	133	4460
29	136	4408
30	139	4369
31	143	4332
32	146	4298
33	150	4267
34	153	4231
35	156	4191
36	159	4154
37	163	4127
38	166	4099
39	169	4068
40	172	4041
41	176	4015
42	179	3990
43	182	3967
44	185	3944
45	189	3923
46	192	3904
47	195	3885
48	199	3870
49	202	3849
50	205	3830
51	208	3804
52	212	3792
53	215	3777
54	219	3766
55	223	3766
56	227	3763
57	231	3766
58	236	3772
59	241	3778
60	246	3788
61	250	3785
62	253	3770
63	257	3758
64	260	3745
65	264	3740
66	268	3735
67	272	3730
68	275	3721
69	279	3717
70	283	3711
71	287	3704
72	290	3694
73	295	3691
74	304	3751
75	308	3752
76	311	3737
77	316	3742
78	320	3734
79	324	3728
80	328	3721
81	332	3726
82	336	3713
83	339	3704
84	343	3693
85	346	3684
86	350	3682
87	358	3710
88	365	3739
89	370	3744
90	373	3735
91	377	3723
92	380	3710
93	384	3702
94	387	3692
95	390	3681
96	394	3672
97	397	3662
98	401	3651
99	404	3642
100	408	3634
101	411	3623
102	414	3612
103	418	3602
104	421	3591
105	424	3581
106	427	3570
107	431	3561
108	434	3551
109	437	3542
110	441	3532
111	444	3523
112	447	3514
113	450	3504
114	454	3494
115	457	3484
116	461	3479
117	464	3472
118	468	3466
119	471	3458
120	475	3452
121	478	3444
122	482	3441
123	486	3438
124	490	3435
125	494	3433
126	499	3431
127	502	3424
128	506	3419
129	510	3415
130	514	3412
131	517	3406
132	521	3398
133	524	3392
134	528	3389
135	532	3385
136	537	3383
137	540	3377
138	544	3375
139	548	3368
140	551	3362
141	555	3356
142	558	3349
143	562	3343
144	566	3338
145	569	3333
146	573	3329
147	577	3326
148	581	3322
149	584	3312
150	588	3306
151	592	3306
152	596	3302
153	600	3300
154	604	3296
155	608	3292
156	612	3286
157	615	3279
158	618	3273
159	622	3266
160	625	3261
161	629	3256
162	633	3250
163	636	3245
164	640	3240
165	643	3234
166	647	3229
167	651	3224
168	654	3220
169	658	3214
170	662	3209
171	665	3203
172	668	3197
173	672	3194
174	676	3188
175	680	3184
176	683	3177
177	686	3172
178	690	3166
179	694	3164
180	697	3157
181	701	3151
182	705	3148
183	709	3144
184	712	3139
185	716	3135
186	720	3131
187	724	3127
188	727	3122
189	730	3115
190	733	3107
191	736	3101
192	740	3095
193	743	3088
194	747	3086
195	752	3088
196	759	3097
197	764	3098
198	769	3096
199	776	3104
200	781	3106
201	787	3110
202	792	3112
203	797	3111
204	801	3108
205	805	3103
206	809	3100
207	812	3094
208	816	3088
209	820	3085
210	823	3079
211	826	3073
212	829	3066
213	833	3060
214	836	3054
215	839	3048
216	842	3041
217	846	3035
218	849	3029
219	852	3022
220	855	3016
221	858	3010
222	862	3004
223	865	2998
224	868	2992
225	871	2985
226	874	2978
227	877	2972
228	881	2966
229	884	2960
230	887	2953
231	890	2946
232	893	2941
233	896	2934
234	899	2928
235	901	2918
236	904	2912
237	907	2906
238	910	2899
239	913	2893
240	916	2887
241	919	2881
242	922	2874
243	926	2869
244	929	2863
245	932	2857
246	935	2851
247	938	2846
248	941	2840
249	945	2835
250	948	2830
251	952	2825
252	955	2821
253	959	2816
254	962	2811
255	965	2806
256	968	2800
257	972	2796
258	976	2793
259	979	2788
260	983	2785
261	987	2781
262	990	2775
263	993	2770
264	997	2766
265	1000	2762
266	1004	2757
267	1008	2753
268	1011	2748
269	1014	2744
270	1018	2740
271	1021	2735
272	1025	2730
273	1029	2727
274	1032	2723
275	1036	2719
276	1041	2717
277	1044	2713
278	1047	2708
279	1051	2703
280	1054	2699
281	1058	2695
282	1062	2691
283	1066	2687
284	1069	2683
285	1072	2677
286	1076	2673
287	1079	2669
288	1083	2665
