iter	Passed	Remaining
0	6	670
1	16	809
2	24	785
3	26	637
4	28	542
5	31	493
6	34	454
7	39	456
8	43	438
9	46	421
10	51	414
11	54	400
12	59	398
13	61	379
14	67	381
15	72	381
16	79	387
17	83	379
18	86	369
19	91	364
20	95	359
21	100	355
22	105	352
23	109	346
24	116	348
25	118	337
26	122	332
27	130	334
28	138	339
29	144	336
30	151	336
31	157	334
32	161	328
33	166	322
34	170	317
35	175	312
36	180	307
37	184	301
38	189	296
39	194	291
40	199	286
41	204	282
42	209	277
43	215	273
44	219	268
45	224	263
46	229	258
47	234	253
48	238	248
49	242	242
50	247	237
51	252	232
52	256	227
53	258	220
54	263	215
55	268	210
56	272	205
57	278	201
58	283	196
59	286	191
60	290	185
61	292	179
62	296	174
63	300	169
64	305	164
65	309	159
66	313	154
67	318	149
68	324	145
69	330	141
70	337	137
71	344	134
72	352	130
73	359	126
74	364	121
75	369	116
76	373	111
77	380	107
78	389	103
79	396	99
80	404	94
81	407	89
82	414	84
83	422	80
84	429	75
85	432	70
86	438	65
87	445	60
88	453	56
89	459	51
90	468	46
91	473	41
92	479	36
93	484	30
94	489	25
95	493	20
96	497	15
97	502	10
98	506	5
99	512	0
