iter	Logloss
0	0.2766014509
1	0.2211735771
2	0.1928007708
3	0.1871642843
4	0.1822634863
5	0.1792784206
6	0.178566942
7	0.1766384597
8	0.1754529186
9	0.1745382671
10	0.1732515311
11	0.1726836706
12	0.1718656163
13	0.170524954
14	0.1701074016
15	0.1697267765
16	0.1691587658
17	0.1684085339
18	0.1677760633
19	0.1672251128
20	0.166999235
21	0.1668007765
22	0.1664615175
23	0.1660149463
24	0.1651283167
25	0.1649542465
26	0.1644637288
27	0.1640942089
28	0.1638028747
29	0.163669382
30	0.1629934876
31	0.1625832464
32	0.1624081414
33	0.1623335571
34	0.1619611161
35	0.1613435178
36	0.1610222551
37	0.1606432952
38	0.1604187227
39	0.1603516824
40	0.1599361493
41	0.1595777124
42	0.1595703761
43	0.1593955264
44	0.1584729848
45	0.1583899505
46	0.1582053617
47	0.1579508571
48	0.1579252985
49	0.1578171674
50	0.157772391
51	0.157757331
52	0.1576673404
53	0.1574197662
54	0.1561327205
55	0.1554801023
56	0.1552440181
57	0.1549216604
58	0.1547487036
59	0.1541824944
60	0.1539396782
61	0.1537140181
62	0.1535668305
63	0.1532972431
64	0.153216481
65	0.153208964
66	0.1528811938
67	0.1527185398
68	0.1526075964
69	0.1525039935
70	0.1522959076
71	0.151981
72	0.1518361431
73	0.1516941761
74	0.151431682
75	0.1511222809
76	0.1508851825
77	0.1508838338
78	0.1507784836
79	0.1504694352
80	0.1503251065
81	0.1499395721
82	0.1499242715
83	0.149277868
84	0.1491541792
85	0.1485323716
86	0.1483156276
87	0.1482874029
88	0.1481987852
89	0.1476263665
90	0.1472100602
91	0.1469350048
92	0.1468027179
93	0.1464666802
94	0.1462571574
95	0.1454582081
96	0.1454017504
97	0.1452406764
98	0.1451850472
99	0.1449091224
